Order ID,Order Date,Customer ID,Type,SKU,Category,Product Name,Unit Price,Qty,Total,Discount Code,Disc %,Payment,Source,City,State,Warehouse,Del Date,Status,Return?,Reason,Ret Rec,Refund,order_week,Payment_Type
UT-100001,2024-10-01,CUST_10001,new,TOP-CAS-M,tops,classic cotton tee,1299,2,2598,,0,upi,website,mumbai,maharashtra,mumbai,2024-10-05,delivered,No,,,not applicable,40,prepaid
UT-100002,2024-10-01,CUST_10002,returning,DRS-FRM-S,dresses,floral midi dress,2499,1,2499,DIWALI20,20,credit card,mobile app,delhi,delhi,delhi,2024-10-04,delivered,Yes,size issue,2024-10-15,processed,40,prepaid
UT-100003,2024-01-10,CUST_10003,new,BOT-JNS-L,bottoms,slim fit jeans,1899,1,1899,,0,cod,website,bangalore,karnataka,bangalore,2024-10-06,delivered,No,,,not applicable,2,cod
UT-100004,2024-10-01,CUST_10004,new,OUT-JKT-XL,outerwear,denim jacket,3499,1,3499,FIRST15,15,debit card,instagram shop,chennai,tamil nadu,mumbai,2024-10-08,delivered,Yes,quality defect,2024-10-20,processed,40,prepaid
UT-100005,2024-10-01,CUST_10001,new,ACC-SCF-OS,accessories,silk scarf,799,3,2397,,0,upi,website,mumbai,maharashtra,mumbai,2024-10-06,delivered,No,,,not applicable,40,prepaid
UT-100006,2024-10-02,CUST_10005,returning,TOP-FRM-S,tops,printed blouse,1599,2,3198,,0,credit card,mobile app,hyderabad,telangana,bangalore,2024-10-07,delivered,Yes,changed mind,2024-10-18,processed,40,prepaid
UT-100007,2024-10-02,CUST_10006,new,DRS-CAS-M,dresses,a-line dress,2199,1,2199,DIWALI20,20,cod,website,pune,maharashtra,mumbai,,cancelled,No,,,not applicable,40,cod
UT-100008,2024-10-02,CUST_10007,new,BOT-TRS-L,bottoms,formal trousers,2299,1,2299,,0,upi,mobile app,kolkata,west bengal,delhi,2024-10-10,delivered,No,,,not applicable,40,prepaid
UT-100009,2024-10-02,CUST_10008,returning,TOP-CAS-XL,tops,oversized tee,1399,5,6995,,0,credit card,website,ahmedabad,gujarat,mumbai,2024-10-09,delivered,Yes,size issue,2024-10-22,processed,40,prepaid
UT-100010,2024-10-02,CUST_10009,new,OUT-BLZ-M,outerwear,casual blazer,4999,-1,4999,,0,debit card,instagram shop,jaipur,rajasthan,delhi,2024-10-11,delivered,Yes,wrong item,2024-10-25,pending,40,prepaid
UT-100011,2024-10-03,CUST_10010,new,ACC-BAG-OS,accessories,tote bag,1299,2,2598,FLAT10,10,wallet,website,lucknow,uttar pradesh,delhi,2024-10-10,delivered,No,,,not applicable,40,prepaid
UT-100012,2024-10-03,CUST_10011,new,DRS-PRT-S,dresses,party dress,3299,1,3299,,0,cod,mobile app,chandigarh,punjab,delhi,,rto,No,,,not applicable,40,cod
UT-100013,2024-10-03,CUST_10012,returning,TOP-SLK-M,tops,silk blouse,2499,1,2499,,0,credit card,website,mumbai,maharashtra,mumbai,2024-10-09,delivered,No,,,not applicable,40,prepaid
UT-100014,2024-10-03,CUST_10013,new,BOT-SKT-S,bottoms,pleated skirt,1799,2,3598,DIWALI20,20,upi,instagram shop,delhi,delhi,delhi,2024-10-11,delivered,Yes,size issue,2024-10-28,processed,40,prepaid
UT-100015,2024-10-03,CUST_10014,new,OUT-CRD-L,outerwear,knit cardigan,2799,1,2799,,0,debit card,mobile app,bangalore,karnataka,bangalore,2024-10-12,delivered,No,,,not applicable,40,prepaid
UT-100016,2024-10-04,CUST_10015,returning,ACC-JWL-OS,accessories,statement earrings,599,4,2396,,0,cod,website,noida,uttar pradesh,delhi,2024-10-14,delivered,Yes,damaged in transit,2024-10-26,processed,40,cod
UT-100017,2024-10-04,CUST_10016,new,TOP-CRP-XS,tops,crop top,999,1,999,FIRST15,15,upi,mobile app,gurgaon,haryana,delhi,2024-10-12,delievered,No,,,not applicable,40,prepaid
UT-100018,2024-10-04,CUST_10017,new,DRS-MAX-M,dresses,maxi dress,2899,1,2899,,0,credit card,website,indore,madhya pradesh,mumbai,2024-10-14,delivered,No,,,not applicable,40,prepaid
UT-100019,2024-10-04,CUST_10018,returning,BOT-JGR-M,bottoms,joggers,1499,2,2998,,0,wallet,instagram shop,surat,gujarat,mumbai,2024-10-13,delivered,Yes,size issue,2024-10-30,processed,40,prepaid
UT-100020,2024-10-05,CUST_10019,new,OUT-VST-S,outerwear,puffer vest,3999,1,3999,DIWALI20,20,cod,website,patna,bihar,delhi,,rto,No,,,not applicable,40,cod
